"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1998","Denmark","Age in completed years","Total","Number","Total","51,372",""
"1998","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","802,456",""
"1998","Estonia","Age in completed years","Total","Number","Total",":",""
"1998","Ireland","Age in completed years","Total","Number","Total","48,175",""
"1998","Greece","Age in completed years","Total","Number","Total","116,411",""
"1998","Spain","Age in completed years","Total","Number","Total","81,227",""
"1998","France","Age in completed years","Total","Number","Total",":",""
"1998","Croatia","Age in completed years","Total","Number","Total","51,784",""
"1998","Italy","Age in completed years","Total","Number","Total","156,885",""
"1998","Cyprus","Age in completed years","Total","Number","Total","8,801",""
"1998","Latvia","Age in completed years","Total","Number","Total","3,123",""
"1998","Lithuania","Age in completed years","Total","Number","Total","2,706",""
"1998","Luxembourg","Age in completed years","Total","Number","Total","11,630",""
"1998","Hungary","Age in completed years","Total","Number","Total","17,269",""
"1998","Malta","Age in completed years","Total","Number","Total",":",""
"1998","Netherlands","Age in completed years","Total","Number","Total","122,407",""
"1998","Austria","Age in completed years","Total","Number","Total","72,723",""
"1998","Poland","Age in completed years","Total","Number","Total","8,916",""
"1998","Portugal","Age in completed years","Total","Number","Total","56,788",""
"1998","Romania","Age in completed years","Total","Number","Total",":",""
"1998","Slovenia","Age in completed years","Total","Number","Total","4,603",""
"1998","Slovakia","Age in completed years","Total","Number","Total","2,052",""
"1998","Finland","Age in completed years","Total","Number","Total","14,192",""
"1998","Sweden","Age in completed years","Total","Number","Total","49,391",""
"1998","United Kingdom","Age in completed years","Total","Number","Total","332,390",""
"1998","Iceland","Age in completed years","Total","Number","Total","4,562",""
"1998","Liechtenstein","Age in completed years","Total","Number","Total",":",""
"1998","Norway","Age in completed years","Total","Number","Total","36,704",""
"1998","Switzerland","Age in completed years","Total","Number","Total","95,955",""
"1999","Belgium","Age in completed years","Total","Number","Total","91,624",""
"1999","Bulgaria","Age in completed years","Total","Number","Total",":",""
"1999","Czechia","Age in completed years","Total","Number","Total",":",""
"1999","Denmark","Age in completed years","Total","Number","Total","50,236",""
