"TIME","GEO","INDIC_DE","Value"
"1962","Sweden","Live births - total","107,284"
"1962","Sweden","Deaths - total","76,791"
"1962","United Kingdom","Average population - total","53,250,000"
"1962","United Kingdom","Live births - total","975,600"
"1962","United Kingdom","Deaths - total","636,100"
"1962","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Average population - total","419,380,838"
"1962","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Live births - total","7,643,388"
"1962","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Deaths - total","4,392,865"
"1962","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Average population - total","415,184,126"
"1962","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Live births - total","7,571,121"
"1962","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Deaths - total","4,350,731"
"1962","European Free Trade Association","Average population - total","9,412,554"
"1962","European Free Trade Association","Live births - total","171,647"
"1962","European Free Trade Association","Deaths - total","90,695"
"1962","Iceland","Average population - total","182,378"
"1962","Iceland","Live births - total","4,711"
"1962","Iceland","Deaths - total","1,239"
"1962","Liechtenstein","Average population - total","17,443"
"1962","Liechtenstein","Live births - total","360"
"1962","Liechtenstein","Deaths - total","166"
"1962","Norway","Average population - total","3,638,918"
"1962","Norway","Live births - total","62,254"
"1962","Norway","Deaths - total","34,165"
"1962","Switzerland","Average population - total","5,573,815"
"1962","Switzerland","Live births - total","104,322"
"1962","Switzerland","Deaths - total","55,125"
"1962","Montenegro","Average population - total",":"
"1962","Montenegro","Live births - total",":"
"1962","Montenegro","Deaths - total",":"
"1962","North Macedonia","Average population - total","1,427,771"
"1962","North Macedonia","Live births - total","40,615"
"1962","North Macedonia","Deaths - total","16,155"
"1962","Albania","Average population - total","1,711,319"
"1962","Albania","Live births - total","67,209"
"1962","Albania","Deaths - total","18,363"
"1962","Serbia","Average population - total",":"
"1962","Serbia","Live births - total",":"
"1962","Serbia","Deaths - total",":"
"1962","Turkey","Average population - total","28,798,871"
"1962","Turkey","Live births - total",":"
"1962","Turkey","Deaths - total",":"
"1962","Andorra","Average population - total",":"
"1962","Andorra","Live births - total",":"
"1962","Andorra","Deaths - total",":"
"1962","Belarus","Average population - total",":"
"1962","Belarus","Live births - total",":"
"1962","Belarus","Deaths - total",":"
"1962","Bosnia and Herzegovina","Average population - total","3,368,020"
"1962","Bosnia and Herzegovina","Live births - total","106,826"
"1962","Bosnia and Herzegovina","Deaths - total","31,087"
"1962","Kosovo (under United Nations Security Council Resolution 1244/99)","Average population - total","996,750"
"1962","Kosovo (under United Nations Security Council Resolution 1244/99)","Live births - total","41,336"
"1962","Kosovo (under United Nations Security Council Resolution 1244/99)","Deaths - total","15,024"
"1962","Moldova","Average population - total",":"
"1962","Moldova","Live births - total",":"
"1962","Moldova","Deaths - total",":"
"1962","Monaco","Average population - total",":"
"1962","Monaco","Live births - total",":"
"1962","Monaco","Deaths - total",":"
"1962","Russia","Average population - total",":"
"1962","Russia","Live births - total",":"
"1962","Russia","Deaths - total",":"
"1962","San Marino","Average population - total",":"
"1962","San Marino","Live births - total",":"
"1962","San Marino","Deaths - total",":"
"1962","Ukraine","Average population - total",":"
"1962","Ukraine","Live births - total",":"
"1962","Ukraine","Deaths - total",":"
"1962","Armenia","Average population - total",":"
"1962","Armenia","Live births - total",":"
"1962","Armenia","Deaths - total",":"
"1962","Azerbaijan","Average population - total",":"
"1962","Azerbaijan","Live births - total",":"
"1962","Azerbaijan","Deaths - total",":"
"1962","Georgia","Average population - total",":"
"1962","Georgia","Live births - total",":"
"1962","Georgia","Deaths - total",":"
"1963","Belgium","Average population - total","9,289,770"
"1963","Belgium","Live births - total","159,192"
"1963","Belgium","Deaths - total","116,718"
"1963","Bulgaria","Average population - total","8,078,145"
"1963","Bulgaria","Live births - total","132,143"
"1963","Bulgaria","Deaths - total","66,057"
"1963","Czechia","Average population - total","9,670,685"
"1963","Czechia","Live births - total","148,840"
"1963","Czechia","Deaths - total","100,129"
"1963","Denmark","Average population - total","4,684,483"
"1963","Denmark","Live births - total","82,413"
"1963","Denmark","Deaths - total","45,773"
"1963","Germany (until 1990 former territory of the FRG)","Average population - total","57,555,878"
"1963","Germany (until 1990 former territory of the FRG)","Live births - total","1,054,123"
"1963","Germany (until 1990 former territory of the FRG)","Deaths - total","673,069"
"1963","Germany including former GDR","Average population - total","74,714,353"
"1963","Germany including former GDR","Live births - total","1,355,595"
"1963","Germany including former GDR","Deaths - total","895,070"
"1963","Estonia","Average population - total","1,258,857"
"1963","Estonia","Live births - total","19,275"
"1963","Estonia","Deaths - total","13,251"
"1963","Ireland","Average population - total","2,852,650"
"1963","Ireland","Live births - total","63,246"
"1963","Ireland","Deaths - total","33,795"
"1963","Greece","Average population - total","8,479,625"
"1963","Greece","Live births - total","148,366"
"1963","Greece","Deaths - total","66,813"
"1963","Spain","Average population - total","31,296,651"
"1963","Spain","Live births - total","668,472"
"1963","Spain","Deaths - total","275,489"
"1963","France","Average population - total",":"
"1963","France","Live births - total",":"
"1963","France","Deaths - total",":"
"1963","France (metropolitan)","Average population - total","47,816,218"
"1963","France (metropolitan)","Live births - total","865,339"
"1963","France (metropolitan)","Deaths - total","557,852"
"1963","Croatia","Average population - total","4,225,675"
"1963","Croatia","Live births - total","69,878"
"1963","Croatia","Deaths - total","38,597"
"1963","Italy","Average population - total","51,252,000"
"1963","Italy","Live births - total","960,336"
"1963","Italy","Deaths - total","516,377"
"1963","Cyprus","Average population - total","582,200"
"1963","Cyprus","Live births - total","14,602"
"1963","Cyprus","Deaths - total","6,079"
"1963","Latvia","Average population - total","2,210,919"
"1963","Latvia","Live births - total","33,843"
"1963","Latvia","Deaths - total","22,703"
"1963","Lithuania","Average population - total","2,898,950"
"1963","Lithuania","Live births - total","57,024"
"1963","Lithuania","Deaths - total","23,112"
"1963","Luxembourg","Average population - total","324,100"
"1963","Luxembourg","Live births - total","5,112"
"1963","Luxembourg","Deaths - total","3,929"
"1963","Hungary","Average population - total","10,087,947"
"1963","Hungary","Live births - total","132,335"
"1963","Hungary","Deaths - total","99,871"
"1963","Malta","Average population - total","322,550"
"1963","Malta","Live births - total","6,672"
"1963","Malta","Deaths - total","2,981"
"1963","Netherlands","Average population - total","11,965,966"
"1963","Netherlands","Live births - total","249,879"
"1963","Netherlands","Deaths - total","95,734"
"1963","Austria","Average population - total","7,175,811"
"1963","Austria","Live births - total","134,809"
"1963","Austria","Deaths - total","91,579"
"1963","Poland","Average population - total","30,712,000"
"1963","Poland","Live births - total","589,349"
"1963","Poland","Deaths - total","231,186"
"1963","Portugal","Average population - total","9,030,355"
"1963","Portugal","Live births - total","212,152"
"1963","Portugal","Deaths - total","98,011"
"1963","Romania","Average population - total","18,797,850"
"1963","Romania","Live births - total","294,886"
"1963","Romania","Deaths - total","155,767"
"1963","Slovenia","Average population - total","1,616,971"
"1963","Slovenia","Live births - total","29,174"
"1963","Slovenia","Deaths - total","15,102"
"1963","Slovakia","Average population - total","4,282,017"
"1963","Slovakia","Live births - total","87,158"
"1963","Slovakia","Deaths - total","32,978"
"1963","Finland","Average population - total","4,523,309"
"1963","Finland","Live births - total","82,251"
"1963","Finland","Deaths - total","42,010"
"1963","Sweden","Average population - total","7,604,328"
"1963","Sweden","Live births - total","112,903"
"1963","Sweden","Deaths - total","76,460"
"1963","United Kingdom","Average population - total","53,650,000"
"1963","United Kingdom","Live births - total","990,200"
"1963","United Kingdom","Deaths - total","654,300"
"1963","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Average population - total","423,274,668"
"1963","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Live births - total","7,773,952"
"1963","European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","Deaths - total","4,415,851"
"1963","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Average population - total","419,048,993"
"1963","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Live births - total","7,704,074"
"1963","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)","Deaths - total","4,377,254"
"1963","European Free Trade Association","Average population - total","9,564,530"
"1963","European Free Trade Association","Live births - total","178,501"
"1963","European Free Trade Association","Deaths - total","95,117"
"1963","Iceland","Average population - total","185,653"
"1963","Iceland","Live births - total","4,820"
"1963","Iceland","Deaths - total","1,328"
"1963","Liechtenstein","Average population - total","18,093"
"1963","Liechtenstein","Live births - total","398"
"1963","Liechtenstein","Deaths - total","146"
"1963","Norway","Average population - total","3,666,537"
"1963","Norway","Live births - total","63,290"
"1963","Norway","Deaths - total","36,654"
"1963","Switzerland","Average population - total","5,694,247"
"1963","Switzerland","Live births - total","109,993"
"1963","Switzerland","Deaths - total","56,989"
"1963","Montenegro","Average population - total",":"
"1963","Montenegro","Live births - total",":"
"1963","Montenegro","Deaths - total",":"
"1963","North Macedonia","Average population - total","1,449,932"
"1963","North Macedonia","Live births - total","41,284"
"1963","North Macedonia","Deaths - total","13,229"
"1963","Albania","Average population - total","1,762,621"
"1963","Albania","Live births - total","68,967"
"1963","Albania","Deaths - total","17,646"
"1963","Serbia","Average population - total",":"
"1963","Serbia","Live births - total",":"
"1963","Serbia","Deaths - total",":"
"1963","Turkey","Average population - total","29,551,064"
"1963","Turkey","Live births - total",":"
"1963","Turkey","Deaths - total",":"
"1963","Andorra","Average population - total",":"
"1963","Andorra","Live births - total",":"
"1963","Andorra","Deaths - total",":"
"1963","Belarus","Average population - total",":"
"1963","Belarus","Live births - total",":"
"1963","Belarus","Deaths - total",":"
"1963","Bosnia and Herzegovina","Average population - total","3,443,289"
"1963","Bosnia and Herzegovina","Live births - total","104,240"
