"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"1995","Lithuania","Total","Age in completed years","Number","Total","25,688",""
"1995","Luxembourg","Total","Age in completed years","Number","Total","5,715",""
"1995","Hungary","Total","Age in completed years","Number","Total","3,173",""
"1995","Malta","Total","Age in completed years","Number","Total",":",""
"1995","Netherlands","Total","Age in completed years","Number","Total","63,321",""
"1995","Austria","Total","Age in completed years","Number","Total",":",""
"1995","Poland","Total","Age in completed years","Number","Total","26,344",""
"1995","Portugal","Total","Age in completed years","Number","Total","11,290",""
"1995","Romania","Total","Age in completed years","Number","Total",":",""
"1995","Slovenia","Total","Age in completed years","Number","Total","3,372",""
"1995","Slovakia","Total","Age in completed years","Number","Total","213",""
"1995","Finland","Total","Age in completed years","Number","Total","8,957",""
"1995","Sweden","Total","Age in completed years","Number","Total","33,984",""
"1995","United Kingdom","Total","Age in completed years","Number","Total",":",""
"1995","Iceland","Total","Age in completed years","Number","Total","4,285",""
"1995","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1995","Norway","Total","Age in completed years","Number","Total","19,311",""
"1995","Switzerland","Total","Age in completed years","Number","Total","99,509",""
"1995","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1995","Belarus","Total","Age in completed years","Number","Total",":",""
"1995","Moldova","Total","Age in completed years","Number","Total",":",""
"1995","Russia","Total","Age in completed years","Number","Total",":",""
"1995","San Marino","Total","Age in completed years","Number","Total",":",""
"1995","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1995","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1995","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1995","Armenia","Total","Age in completed years","Number","Total",":",""
"1995","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"1996","Belgium","Total","Age in completed years","Number","Total","36,674",""
"1996","Bulgaria","Total","Age in completed years","Number","Total",":",""
"1996","Czechia","Total","Age in completed years","Number","Total",":",""
"1996","Denmark","Total","Age in completed years","Number","Total","37,312",""
"1996","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","677,494",""
"1996","Estonia","Total","Age in completed years","Number","Total","7,134",""
"1996","Ireland","Total","Age in completed years","Number","Total","26,775",""
"1996","Greece","Total","Age in completed years","Number","Total","54,628",""
"1996","Spain","Total","Age in completed years","Number","Total",":",""
"1996","France","Total","Age in completed years","Number","Total",":",""
"1996","Croatia","Total","Age in completed years","Number","Total","10,027",""
"1996","Italy","Total","Age in completed years","Number","Total","47,510",""
"1996","Cyprus","Total","Age in completed years","Number","Total",":",""
"1996","Latvia","Total","Age in completed years","Number","Total","12,828",""
"1996","Lithuania","Total","Age in completed years","Number","Total","26,394",""
"1996","Luxembourg","Total","Age in completed years","Number","Total","6,355",""
"1996","Hungary","Total","Age in completed years","Number","Total","3,642",""
"1996","Malta","Total","Age in completed years","Number","Total",":",""
"1996","Netherlands","Total","Age in completed years","Number","Total","65,325",""
"1996","Austria","Total","Age in completed years","Number","Total","66,050",""
"1996","Poland","Total","Age in completed years","Number","Total","21,297",""
"1996","Portugal","Total","Age in completed years","Number","Total","14,533",""
"1996","Romania","Total","Age in completed years","Number","Total",":",""
"1996","Slovenia","Total","Age in completed years","Number","Total","2,985",""
"1996","Slovakia","Total","Age in completed years","Number","Total","222",""
"1996","Finland","Total","Age in completed years","Number","Total","10,587",""
"1996","Sweden","Total","Age in completed years","Number","Total","33,884",""
"1996","United Kingdom","Total","Age in completed years","Number","Total",":",""
"1996","Iceland","Total","Age in completed years","Number","Total","4,108",""
"1996","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1996","Norway","Total","Age in completed years","Number","Total",":",""
"1996","Switzerland","Total","Age in completed years","Number","Total","103,398",""
"1996","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1996","Belarus","Total","Age in completed years","Number","Total",":",""
"1996","Moldova","Total","Age in completed years","Number","Total",":",""
"1996","Russia","Total","Age in completed years","Number","Total",":",""
"1996","San Marino","Total","Age in completed years","Number","Total",":",""
"1996","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1996","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1996","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1996","Armenia","Total","Age in completed years","Number","Total",":",""
"1996","Azerbaijan","Total","Age in completed years","Number","Total",":",""
